Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,7D Avg New Cases,7D Avg New Deaths,Case Fatality Rate (%),Doubling Time (days)
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6,,,3.063063063063063,
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8,,,2.7522935779816518,
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9,,,2.763018065887354,
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,,,2.928870292887029,
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,,,2.644003777148253,
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,,,2.801503245644004,
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,717.5714285714286,16.285714285714285,2.3485120114736464,
2020-01-29,6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,801.5714285714286,16.571428571428573,2.156989944858904,2.015098724311887
2020-01-30,8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,1082.857142857143,21.857142857142858,2.0767549186300704,1.915587760208037
2020-01-31,9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,1283.7142857142858,26.714285714285715,2.1456633423995166,2.0593740095908664
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,1514.857142857143,31.0,2.1515201860774216,2.2805174665643855
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,2095.5714285714284,43.714285714285715,2.1564305712753917,2.343825911253187
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,2422.8571428571427,49.142857142857146,2.1421028812792278,2.5322582498807704
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,2617.1428571428573,51.57142857142857,2.0587496861662067,3.334810104669473
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,3068.1428571428573,61.57142857142857,2.040299533335745,3.2339921770059776
2020-02-06,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,3224.0,66.14285714285714,2.0583079020842803,3.6777093512247148
2020-02-07,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,3486.714285714286,72.28571428571429,2.094134094483602,3.9101596199777537
2020-02-08,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,3575.714285714286,78.14285714285714,2.1743822164670337,4.314120865616051
2020-02-09,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,3329.714285714286,77.71428571428571,2.259633370744482,5.572902725221691
2020-02-10,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,3249.4285714285716,83.85714285714286,2.37609363638496,6.362798095201588
2020-02-11,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,2968.1428571428573,88.71428571428571,2.491326245103526,7.755563742917704
2020-02-12,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,2702.5714285714284,79.14285714285714,2.401151178024527,9.305938528081517
2020-02-13,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,4200.571428571428,105.28571428571429,2.277181676244892,7.239757300277447
2020-02-14,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,4622.285714285715,114.85714285714286,2.283700704753336,7.308167105070066
2020-02-15,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,4528.142857142857,122.85714285714286,2.42274412855377,7.851933424283541
2020-02-16,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,4397.714285714285,123.42857142857143,2.497213561139407,8.516479086669891
2020-02-17,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,4311.714285714285,122.14285714285714,2.5654054796401837,9.064244908509833
2020-02-18,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,4276.285714285715,127.85714285714286,2.6913643126164404,9.460968836908249
2020-02-19,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,4067.0,143.57142857142858,2.8295348527255766,10.169311561480503
2020-02-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,2195.8571428571427,125.0,2.971803591039602,21.338862253813762
2020-02-21,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,1359.4285714285713,103.85714285714286,2.952523423352492,36.37608129279948
2020-02-22,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,1314.5714285714287,113.0,3.1513332563776983,38.63365461420135
2020-02-23,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,1058.7142857142858,99.57142857142857,3.151104866521906,48.790758069172554
2020-02-24,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,862.7142857142857,108.42857142857143,3.3314733558221525,60.896962721539204
2020-02-25,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16,41,728.2857142857143,99.85714285714286,3.39618854052969,73.40853599620208
2020-02-26,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52,47,805.7142857142857,92.0,3.4300235527457543,66.9441996631149
2020-02-27,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8,51,922.4285714285714,80.57142857142857,3.4254089767657314,59.184243015590845
2020-02-28,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12,57,1029.2857142857142,88.14285714285714,3.4371965328314014,53.708551150044194
2020-02-29,85306,2936,38314,44056,1895,69,3008,3.44,44.91,7.66,61,1048.4285714285713,68.42857142857143,3.4417274283168826,53.935939233694576
2020-03-01,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26,66,1342.857142857143,74.71428571428571,3.4097388527768273,42.79139614164606
2020-03-02,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98,73,1544.2857142857142,64.57142857142857,3.4339311206281224,37.76742284414499
